,rescheduling-gauss-time-retrained,converged_iterations,total_time
ft10_100_1,972.0,1844.0,334.1498737335205
ft10_100_2,985.0,1394.0,247.67186164855957
ft10_100_3,976.0,2078.0,383.4339919090271
ft10_25_1,1014.0,1106.0,196.58173966407776
ft10_25_2,1005.0,1295.0,232.2232060432434
ft10_25_3,1038.0,1997.0,362.9263768196106
ft10_50_1,1015.0,2114.0,387.9284362792969
ft10_50_2,1018.0,1862.0,333.2258059978485
ft10_50_3,1008.0,2132.0,389.7583739757538
ft10_75_1,1020.0,2015.0,367.36984395980835
ft10_75_2,1010.0,1898.0,343.11372590065
ft10_75_3,1001.0,1349.0,241.06329107284546
la26_100_1,1248.0,2888.0,999.1246206760406
la26_100_2,1261.0,2681.0,913.8296031951904
la26_100_3,1244.0,3158.0,1100.2771022319794
la26_25_1,1275.0,3374.0,1195.2796261310577
la26_25_2,1282.0,2870.0,1000.1292679309845
la26_25_3,1310.0,2510.0,856.2808177471161
la26_50_1,1275.0,2951.0,1030.8239223957062
la26_50_2,1290.0,2258.0,761.5670866966248
la26_50_3,1257.0,2564.0,881.3901629447937
la26_75_1,1283.0,2375.0,806.7123630046844
la26_75_2,1292.0,2546.0,880.7716612815857
la26_75_3,1266.0,2654.0,942.5311720371246
la31_100_1,1788.0,5408.0,3013.127691745758
la31_100_2,1785.0,4760.0,2620.8899207115173
la31_100_3,1777.0,4868.0,2693.789796590805
la31_25_1,1786.0,4238.0,2317.209146499634
la31_25_2,1782.0,3968.0,2154.813210964203
la31_25_3,1796.0,6263.0,3502.499831199646
la31_50_1,1787.0,4904.0,2756.5154349803925
la31_50_2,1781.0,6002.0,3354.2793233394623
la31_50_3,1776.0,4454.0,2461.1436688899994
la31_75_1,1789.0,5786.0,3247.7798228263855
la31_75_2,1768.0,3644.0,1984.9727561473846
la31_75_3,1777.0,4292.0,2223.2325344085693
ta21_100_1,1780.0,2573.0,1594.3426113128662
ta21_100_2,1831.0,2870.0,1764.6722815036774
ta21_100_3,1832.0,2717.0,1677.3026721477509
ta21_25_1,1803.0,2195.0,1323.6100859642029
ta21_25_2,1888.0,2861.0,1800.998715877533
ta21_25_3,1875.0,2987.0,1891.380722284317
ta21_50_1,1869.0,3257.0,2081.937700033188
ta21_50_2,1879.0,2861.0,1832.1957468986511
ta21_50_3,1871.0,3356.0,2198.9806699752808
ta21_75_1,1839.0,2240.0,1384.039474248886
ta21_75_2,1864.0,2861.0,1828.0972995758057
ta21_75_3,1884.0,3005.0,1970.6248350143433
ta41_100_1,2329.0,3347.0,3605.8904654979706
ta41_100_2,2340.0,3347.0,3604.1646254062653
ta41_100_3,2311.0,3347.0,3601.474451780319
ta41_25_1,2383.0,3338.0,3604.068894147873
ta41_25_2,2401.0,3320.0,3604.5081856250763
ta41_25_3,2349.0,3383.0,3609.0058245658875
ta41_50_1,2330.0,3365.0,3605.739282846451
ta41_50_2,2333.0,3347.0,3600.419973373413
ta41_50_3,2339.0,3356.0,3606.3147671222687
ta41_75_1,2375.0,3356.0,3605.1403574943542
ta41_75_2,2322.0,3347.0,3605.6415054798126
ta41_75_3,2316.0,3338.0,3608.5461943149567
