,rescheduling-normal-time-trained-3,converged_iterations,total_time
ft10_100_1,995.0,10.0,0.8347673416137695
ft10_100_2,1079.0,10.0,0.8277857303619385
ft10_100_3,989.0,10.0,0.7779202461242676
ft10_25_1,986.0,10.0,0.8198089599609375
ft10_25_2,994.0,10.0,0.95644211769104
ft10_25_3,1105.0,10.0,0.8636884689331055
ft10_50_1,1095.0,10.0,0.7809116840362549
ft10_50_2,1024.0,10.0,0.8088369369506836
ft10_50_3,989.0,10.0,0.8058452606201172
ft10_75_1,991.0,10.0,0.7988641262054443
ft10_75_2,980.0,10.0,0.7759244441986084
ft10_75_3,997.0,10.0,0.7579727172851562
la26_100_1,1305.0,10.0,2.0046401023864746
la26_100_2,1283.0,10.0,1.8989214897155762
la26_100_3,1320.0,10.0,1.9567675590515137
la26_25_1,1305.0,10.0,2.2051031589508057
la26_25_2,1287.0,10.0,1.8889493942260742
la26_25_3,1265.0,10.0,1.8635244369506836
la26_50_1,1273.0,10.0,1.8739886283874512
la26_50_2,1282.0,10.0,1.9019138813018799
la26_50_3,1258.0,10.0,1.8530452251434326
la26_75_1,1339.0,10.0,1.9438016414642334
la26_75_2,1319.0,10.0,1.819136142730713
la26_75_3,1338.0,10.0,1.9258496761322021
la31_100_1,1800.0,10.0,3.086745500564575
la31_100_2,1802.0,10.0,3.076772451400757
la31_100_3,1814.0,10.0,3.1386070251464844
la31_25_1,1799.0,10.0,3.2233800888061523
la31_25_2,1844.0,10.0,3.295187473297119
la31_25_3,1789.0,10.0,3.166531562805176
la31_50_1,1787.0,10.0,3.2842178344726562
la31_50_2,1795.0,10.0,3.297182083129883
la31_50_3,1776.0,10.0,3.1186599731445312
la31_75_1,1804.0,10.0,3.078767776489258
la31_75_2,1797.0,10.0,3.0987136363983154
la31_75_3,1812.0,10.0,3.4158663749694824
ta21_100_1,1827.0,10.0,3.8905956745147705
ta21_100_2,1978.0,10.0,4.702425003051758
ta21_100_3,1898.0,10.0,4.370822429656982
ta21_25_1,1830.0,10.0,4.414196252822876
ta21_25_2,1914.0,10.0,4.480019569396973
ta21_25_3,1957.0,10.0,3.874638795852661
ta21_50_1,1945.0,10.0,4.26060676574707
ta21_50_2,1900.0,10.0,4.30847954750061
ta21_50_3,1930.0,10.0,3.8975777626037598
ta21_75_1,1872.0,10.0,3.9085488319396973
ta21_75_2,1988.0,10.0,4.0491721630096436
ta21_75_3,1989.0,10.0,3.9235079288482666
