,episode,make_span,reward,min make span
0,0.0,1240.0,-73.64646464646462,1240.0
1,0.0,1222.0,-71.82828282828285,1222.0
2,0.0,1132.0,-62.73737373737374,1132.0
3,0.0,1303.0,-80.01010101010101,1132.0
4,0.0,1220.0,-71.62626262626264,1132.0
5,0.0,1240.0,-73.64646464646466,1132.0
6,0.0,1257.0,-75.36363636363635,1132.0
7,0.0,1298.0,-79.50505050505049,1132.0
8,0.0,1142.0,-63.747474747474776,1132.0
9,1.0,1177.0,-67.28282828282829,1132.0
10,1.0,1266.0,-76.27272727272727,1132.0
11,1.0,1130.0,-62.535353535353536,1130.0
12,1.0,1071.0,-56.575757575757585,1071.0
13,1.0,1087.0,-58.191919191919204,1071.0
14,1.0,1104.0,-59.909090909090914,1071.0
15,1.0,1185.0,-68.09090909090912,1071.0
16,1.0,1193.0,-68.8989898989899,1071.0
17,1.0,1299.0,-79.60606060606064,1071.0
18,2.0,1115.0,-61.02020202020204,1071.0
19,2.0,1184.0,-67.98989898989899,1071.0
20,2.0,1271.0,-76.77777777777777,1071.0
21,2.0,1223.0,-71.92929292929294,1071.0
22,2.0,1129.0,-62.43434343434345,1071.0
23,2.0,1228.0,-72.43434343434342,1071.0
24,2.0,1158.0,-65.3636363636364,1071.0
25,2.0,1269.0,-76.57575757575756,1071.0
26,2.0,1114.0,-60.91919191919193,1071.0
27,3.0,1139.0,-63.444444444444436,1071.0
28,3.0,1182.0,-67.78787878787882,1071.0
29,3.0,1231.0,-72.73737373737373,1071.0
30,3.0,1338.0,-83.54545454545453,1071.0
31,3.0,1139.0,-63.44444444444446,1071.0
32,3.0,1130.0,-62.53535353535354,1071.0
33,3.0,1235.0,-73.14141414141413,1071.0
34,3.0,1242.0,-73.84848484848486,1071.0
35,3.0,1084.0,-57.888888888888864,1071.0
36,4.0,1178.0,-67.38383838383841,1071.0
37,4.0,1240.0,-73.64646464646468,1071.0
38,4.0,1101.0,-59.60606060606062,1071.0
39,4.0,1135.0,-63.04040404040404,1071.0
40,4.0,1095.0,-59.00000000000002,1071.0
41,4.0,1317.0,-81.42424242424244,1071.0
42,4.0,1224.0,-72.03030303030303,1071.0
43,4.0,1262.0,-75.86868686868688,1071.0
44,4.0,1213.0,-70.91919191919193,1071.0
45,5.0,1315.0,-81.22222222222223,1071.0
46,5.0,1134.0,-62.93939393939395,1071.0
47,5.0,1149.0,-64.4545454545455,1071.0
48,5.0,1034.0,-52.838383838383855,1034.0
49,5.0,1265.0,-76.17171717171719,1034.0
50,5.0,1193.0,-68.89898989898992,1034.0
51,5.0,1152.0,-64.7575757575758,1034.0
52,5.0,1167.0,-66.27272727272728,1034.0
53,5.0,1185.0,-68.0909090909091,1034.0
54,6.0,1197.0,-69.30303030303031,1034.0
55,6.0,1212.0,-70.81818181818184,1034.0
56,6.0,1223.0,-71.92929292929294,1034.0
57,6.0,1192.0,-68.79797979797979,1034.0
58,6.0,1135.0,-63.04040404040406,1034.0
59,6.0,1176.0,-67.18181818181819,1034.0
60,6.0,1190.0,-68.59595959595961,1034.0
61,6.0,1214.0,-71.02020202020202,1034.0
62,6.0,1151.0,-64.65656565656568,1034.0
63,7.0,1230.0,-72.63636363636363,1034.0
64,7.0,1166.0,-66.17171717171718,1034.0
65,7.0,1308.0,-80.51515151515153,1034.0
66,7.0,1175.0,-67.0808080808081,1034.0
67,7.0,1072.0,-56.67676767676769,1034.0
68,7.0,1171.0,-66.67676767676767,1034.0
69,7.0,1183.0,-67.88888888888889,1034.0
70,7.0,1233.0,-72.93939393939394,1034.0
71,7.0,1161.0,-65.66666666666669,1034.0
72,8.0,1079.0,-57.38383838383838,1034.0
73,8.0,1331.0,-82.83838383838386,1034.0
74,8.0,1199.0,-69.5050505050505,1034.0
75,8.0,1222.0,-71.82828282828285,1034.0
76,8.0,1192.0,-68.79797979797979,1034.0
77,8.0,1107.0,-60.21212121212124,1034.0
78,8.0,1167.0,-66.27272727272728,1034.0
79,8.0,1314.0,-81.12121212121211,1034.0
80,8.0,1200.0,-69.60606060606062,1034.0
81,9.0,1187.0,-68.2929292929293,1034.0
82,9.0,1156.0,-65.16161616161615,1034.0
83,9.0,1278.0,-77.4848484848485,1034.0
84,9.0,1242.0,-73.84848484848486,1034.0
85,9.0,1220.0,-71.62626262626262,1034.0
86,9.0,1150.0,-64.55555555555556,1034.0
87,9.0,1216.0,-71.22222222222223,1034.0
88,9.0,1228.0,-72.43434343434346,1034.0
89,9.0,1185.0,-68.0909090909091,1034.0
90,10.0,1086.0,-58.090909090909115,1034.0
91,10.0,1172.0,-66.77777777777779,1034.0
92,10.0,1118.0,-61.32323232323235,1034.0
93,10.0,1043.0,-53.74747474747473,1034.0
94,10.0,1180.0,-67.58585858585862,1034.0
95,10.0,1187.0,-68.29292929292932,1034.0
96,10.0,1129.0,-62.43434343434344,1034.0
97,10.0,1149.0,-64.45454545454547,1034.0
98,10.0,1314.0,-81.12121212121214,1034.0
99,11.0,1197.0,-69.3030303030303,1034.0
100,11.0,1088.0,-58.292929292929294,1034.0
101,11.0,1156.0,-65.16161616161617,1034.0
102,11.0,1164.0,-65.96969696969698,1034.0
103,11.0,1176.0,-67.18181818181819,1034.0
104,11.0,1158.0,-65.36363636363637,1034.0
105,11.0,1237.0,-73.34343434343435,1034.0
106,11.0,1253.0,-74.95959595959597,1034.0
107,11.0,1048.0,-54.25252525252528,1034.0
108,12.0,1169.0,-66.47474747474747,1034.0
109,12.0,1135.0,-63.04040404040405,1034.0
110,12.0,1130.0,-62.535353535353536,1034.0
111,12.0,1093.0,-58.79797979797979,1034.0
112,12.0,1190.0,-68.5959595959596,1034.0
113,12.0,1252.0,-74.85858585858588,1034.0
114,12.0,1226.0,-72.23232323232325,1034.0
115,12.0,1206.0,-70.21212121212122,1034.0
116,12.0,1074.0,-56.878787878787904,1034.0
117,13.0,1178.0,-67.38383838383838,1034.0
118,13.0,1222.0,-71.82828282828284,1034.0
119,13.0,1219.0,-71.52525252525253,1034.0
120,13.0,1230.0,-72.63636363636364,1034.0
121,13.0,1238.0,-73.44444444444446,1034.0
122,13.0,1222.0,-71.82828282828284,1034.0
123,13.0,1052.0,-54.65656565656567,1034.0
124,13.0,1108.0,-60.31313131313132,1034.0
125,13.0,1255.0,-75.1616161616162,1034.0
126,14.0,1195.0,-69.10101010101013,1034.0
127,14.0,1197.0,-69.3030303030303,1034.0
128,14.0,1134.0,-62.939393939393966,1034.0
129,14.0,1198.0,-69.40404040404043,1034.0
130,14.0,1126.0,-62.13131313131314,1034.0
131,14.0,1116.0,-61.12121212121213,1034.0
132,14.0,1235.0,-73.14141414141415,1034.0
133,14.0,1086.0,-58.09090909090909,1034.0
134,14.0,1118.0,-61.32323232323235,1034.0
135,15.0,1114.0,-60.9191919191919,1034.0
136,15.0,1176.0,-67.18181818181819,1034.0
137,15.0,1077.0,-57.18181818181819,1034.0
138,15.0,1178.0,-67.38383838383838,1034.0
139,15.0,1116.0,-61.12121212121213,1034.0
140,15.0,1173.0,-66.87878787878789,1034.0
141,15.0,1211.0,-70.71717171717172,1034.0
142,15.0,1134.0,-62.939393939393945,1034.0
143,15.0,1104.0,-59.909090909090914,1034.0
144,16.0,1144.0,-63.94949494949497,1034.0
145,16.0,1058.0,-55.262626262626256,1034.0
146,16.0,1185.0,-68.09090909090911,1034.0
147,16.0,1121.0,-61.62626262626262,1034.0
148,16.0,1123.0,-61.82828282828283,1034.0
149,16.0,1176.0,-67.18181818181819,1034.0
150,16.0,1169.0,-66.47474747474749,1034.0
151,16.0,1271.0,-76.77777777777779,1034.0
152,16.0,1122.0,-61.72727272727274,1034.0
153,17.0,1179.0,-67.48484848484848,1034.0
154,17.0,1262.0,-75.8686868686869,1034.0
155,17.0,1127.0,-62.23232323232323,1034.0
156,17.0,1125.0,-62.03030303030303,1034.0
157,17.0,1118.0,-61.323232323232325,1034.0
158,17.0,1221.0,-71.72727272727273,1034.0
159,17.0,1253.0,-74.95959595959596,1034.0
160,17.0,1164.0,-65.96969696969698,1034.0
161,17.0,1145.0,-64.05050505050507,1034.0
162,18.0,1182.0,-67.78787878787881,1034.0
163,18.0,1181.0,-67.68686868686872,1034.0
164,18.0,1142.0,-63.74747474747474,1034.0
165,18.0,1166.0,-66.17171717171718,1034.0
166,18.0,1104.0,-59.909090909090914,1034.0
167,18.0,1082.0,-57.68686868686869,1034.0
168,18.0,1162.0,-65.76767676767676,1034.0
169,18.0,1177.0,-67.2828282828283,1034.0
170,18.0,1140.0,-63.54545454545453,1034.0
171,19.0,1202.0,-69.80808080808083,1034.0
172,19.0,1215.0,-71.12121212121212,1034.0
173,19.0,1294.0,-79.1010101010101,1034.0
174,19.0,1173.0,-66.87878787878788,1034.0
175,19.0,1295.0,-79.20202020202022,1034.0
176,19.0,1198.0,-69.40404040404042,1034.0
177,19.0,1184.0,-67.989898989899,1034.0
178,19.0,1182.0,-67.78787878787881,1034.0
179,19.0,1162.0,-65.76767676767676,1034.0
180,20.0,1086.0,-58.09090909090911,1034.0
181,20.0,1162.0,-65.76767676767676,1034.0
182,20.0,1184.0,-67.98989898989899,1034.0
183,20.0,1084.0,-57.888888888888886,1034.0
184,20.0,1214.0,-71.02020202020203,1034.0
185,20.0,1179.0,-67.48484848484848,1034.0
186,20.0,1174.0,-66.97979797979801,1034.0
187,20.0,1227.0,-72.33333333333334,1034.0
188,20.0,1203.0,-69.9090909090909,1034.0
189,21.0,1160.0,-65.56565656565657,1034.0
190,21.0,1165.0,-66.07070707070707,1034.0
191,21.0,1052.0,-54.656565656565675,1034.0
192,21.0,1110.0,-60.515151515151544,1034.0
193,21.0,1207.0,-70.31313131313132,1034.0
194,21.0,1187.0,-68.2929292929293,1034.0
195,21.0,1136.0,-63.14141414141416,1034.0
196,21.0,1035.0,-52.93939393939394,1034.0
197,21.0,1232.0,-72.83838383838385,1034.0
198,22.0,1073.0,-56.7777777777778,1034.0
199,22.0,1162.0,-65.7676767676768,1034.0
200,22.0,1089.0,-58.393939393939384,1034.0
201,22.0,1141.0,-63.64646464646464,1034.0
202,22.0,1181.0,-67.68686868686869,1034.0
203,22.0,1083.0,-57.7878787878788,1034.0
204,22.0,1119.0,-61.42424242424244,1034.0
205,22.0,1180.0,-67.58585858585862,1034.0
206,22.0,1104.0,-59.90909090909092,1034.0
207,23.0,1204.0,-70.01010101010101,1034.0
208,23.0,1213.0,-70.91919191919193,1034.0
209,23.0,1186.0,-68.19191919191921,1034.0
210,23.0,1215.0,-71.12121212121212,1034.0
211,23.0,1166.0,-66.17171717171718,1034.0
212,23.0,1217.0,-71.32323232323236,1034.0
213,23.0,1201.0,-69.70707070707073,1034.0
214,23.0,1146.0,-64.15151515151517,1034.0
215,23.0,1220.0,-71.62626262626263,1034.0
216,24.0,1170.0,-66.57575757575759,1034.0
217,24.0,1178.0,-67.38383838383841,1034.0
218,24.0,1145.0,-64.05050505050508,1034.0
219,24.0,1223.0,-71.92929292929291,1034.0
220,24.0,1192.0,-68.7979797979798,1034.0
221,24.0,1189.0,-68.49494949494951,1034.0
222,24.0,1228.0,-72.43434343434343,1034.0
223,24.0,1170.0,-66.57575757575759,1034.0
