,episode,make_span,reward,min make span
0,0.0,1030.0,-50.823529411764696,1030.0
1,0.0,1034.0,-51.2156862745098,1030.0
2,0.0,1117.0,-59.3529411764706,1030.0
3,0.0,1034.0,-51.2156862745098,1030.0
4,0.0,1083.0,-56.01960784313725,1030.0
5,0.0,1114.0,-59.05882352941176,1030.0
6,0.0,1152.0,-62.78431372549018,1030.0
7,0.0,1093.0,-56.999999999999986,1030.0
8,0.0,1248.0,-72.19607843137253,1030.0
9,1.0,1159.0,-63.470588235294116,1030.0
10,1.0,1122.0,-59.84313725490194,1030.0
11,1.0,1034.0,-51.2156862745098,1030.0
12,1.0,1083.0,-56.01960784313726,1030.0
13,1.0,1034.0,-51.2156862745098,1030.0
14,1.0,1083.0,-56.01960784313724,1030.0
15,1.0,1004.0,-48.27450980392157,1004.0
16,1.0,1034.0,-51.21568627450979,1004.0
17,1.0,1001.0,-47.98039215686274,1001.0
18,2.0,1004.0,-48.27450980392157,1001.0
19,2.0,1058.0,-53.56862745098039,1001.0
20,2.0,1114.0,-59.05882352941176,1001.0
21,2.0,1078.0,-55.52941176470586,1001.0
22,2.0,1028.0,-50.627450980392155,1001.0
23,2.0,1034.0,-51.2156862745098,1001.0
24,2.0,1075.0,-55.235294117647044,1001.0
25,2.0,1073.0,-55.03921568627451,1001.0
26,2.0,1034.0,-51.2156862745098,1001.0
27,3.0,1004.0,-48.27450980392157,1001.0
28,3.0,1001.0,-47.98039215686274,1001.0
29,3.0,997.0,-47.588235294117645,997.0
30,3.0,1001.0,-47.98039215686274,997.0
31,3.0,1001.0,-47.98039215686274,997.0
32,3.0,1001.0,-47.980392156862735,997.0
33,3.0,1041.0,-51.90196078431374,997.0
34,3.0,997.0,-47.58823529411764,997.0
35,3.0,1017.0,-49.549019607843135,997.0
36,4.0,1004.0,-48.27450980392157,997.0
37,4.0,1001.0,-47.98039215686274,997.0
38,4.0,1001.0,-47.98039215686274,997.0
39,4.0,1083.0,-56.01960784313725,997.0
40,4.0,1001.0,-47.98039215686274,997.0
41,4.0,1004.0,-48.27450980392157,997.0
42,4.0,1034.0,-51.2156862745098,997.0
43,4.0,1114.0,-59.05882352941175,997.0
44,4.0,1004.0,-48.27450980392157,997.0
45,5.0,1001.0,-47.98039215686274,997.0
46,5.0,1001.0,-47.98039215686274,997.0
47,5.0,1001.0,-47.98039215686274,997.0
48,5.0,1001.0,-47.98039215686274,997.0
49,5.0,1001.0,-47.98039215686274,997.0
50,5.0,1003.0,-48.1764705882353,997.0
51,5.0,1034.0,-51.2156862745098,997.0
52,5.0,1001.0,-47.98039215686274,997.0
53,5.0,997.0,-47.58823529411764,997.0
54,6.0,1001.0,-47.98039215686274,997.0
55,6.0,1056.0,-53.372549019607845,997.0
56,6.0,1031.0,-50.92156862745098,997.0
57,6.0,1001.0,-47.98039215686274,997.0
58,6.0,1001.0,-47.98039215686274,997.0
59,6.0,1001.0,-47.98039215686274,997.0
60,6.0,1004.0,-48.27450980392157,997.0
61,6.0,1001.0,-47.980392156862735,997.0
62,6.0,1001.0,-47.98039215686274,997.0
63,7.0,1001.0,-47.980392156862735,997.0
64,7.0,1001.0,-47.98039215686274,997.0
65,7.0,1001.0,-47.98039215686274,997.0
66,7.0,1001.0,-47.98039215686274,997.0
67,7.0,1001.0,-47.98039215686274,997.0
68,7.0,1001.0,-47.98039215686274,997.0
69,7.0,1004.0,-48.27450980392157,997.0
70,7.0,1001.0,-47.98039215686274,997.0
71,7.0,1001.0,-47.98039215686274,997.0
72,8.0,1001.0,-47.98039215686274,997.0
73,8.0,997.0,-47.58823529411764,997.0
74,8.0,1001.0,-47.98039215686274,997.0
75,8.0,1001.0,-47.98039215686274,997.0
76,8.0,1001.0,-47.98039215686273,997.0
77,8.0,1001.0,-47.98039215686274,997.0
78,8.0,1001.0,-47.98039215686274,997.0
79,8.0,1001.0,-47.98039215686274,997.0
80,8.0,1001.0,-47.98039215686274,997.0
81,9.0,1044.0,-52.19607843137255,997.0
82,9.0,1044.0,-52.19607843137255,997.0
