,episode,make_span,reward,min make span
0,0.0,1325.0,-27.686868686868692,1325.0
1,0.0,1338.0,-29.0,1325.0
2,0.0,1273.0,-22.434343434343432,1273.0
3,0.0,1311.0,-26.272727272727266,1273.0
4,0.0,1355.0,-30.717171717171706,1273.0
5,0.0,1369.0,-32.13131313131312,1273.0
6,0.0,1369.0,-32.13131313131313,1273.0
7,0.0,1315.0,-26.67676767676767,1273.0
8,0.0,1335.0,-28.696969696969695,1273.0
9,1.0,1301.0,-25.262626262626267,1273.0
10,1.0,1344.0,-29.606060606060602,1273.0
11,1.0,1301.0,-25.262626262626263,1273.0
12,1.0,1365.0,-31.727272727272734,1273.0
13,1.0,1291.0,-24.252525252525253,1273.0
14,1.0,1266.0,-21.72727272727273,1266.0
15,1.0,1280.0,-23.141414141414135,1266.0
16,1.0,1348.0,-30.01010101010101,1266.0
17,1.0,1366.0,-31.82828282828283,1266.0
18,2.0,1389.0,-34.15151515151514,1266.0
19,2.0,1344.0,-29.606060606060602,1266.0
20,2.0,1445.0,-39.80808080808082,1266.0
21,2.0,1369.0,-32.13131313131313,1266.0
22,2.0,1353.0,-30.515151515151512,1266.0
23,2.0,1279.0,-23.04040404040404,1266.0
24,2.0,1272.0,-22.33333333333333,1266.0
25,2.0,1298.0,-24.95959595959596,1266.0
26,2.0,1343.0,-29.505050505050498,1266.0
27,3.0,1272.0,-22.333333333333332,1266.0
28,3.0,1279.0,-23.04040404040404,1266.0
29,3.0,1279.0,-23.04040404040404,1266.0
30,3.0,1279.0,-23.04040404040404,1266.0
31,3.0,1408.0,-36.07070707070707,1266.0
32,3.0,1273.0,-22.43434343434344,1266.0
33,3.0,1279.0,-23.04040404040404,1266.0
34,3.0,1273.0,-22.434343434343432,1266.0
35,3.0,1273.0,-22.43434343434344,1266.0
36,4.0,1273.0,-22.43434343434344,1266.0
37,4.0,1291.0,-24.252525252525253,1266.0
38,4.0,1273.0,-22.43434343434344,1266.0
39,4.0,1273.0,-22.434343434343436,1266.0
40,4.0,1364.0,-31.626262626262626,1266.0
