,episode,make_span,reward,min make span
0,0.0,2211.0,-240.97000000000008,2211.0
1,0.0,2135.0,-225.76999999999984,2135.0
2,0.0,2123.0,-223.36999999999992,2123.0
3,0.0,2082.0,-215.17000000000002,2082.0
4,0.0,1965.0,-191.77000000000007,1965.0
5,0.0,2162.0,-231.1699999999999,1965.0
6,0.0,2009.0,-200.56999999999996,1965.0
7,0.0,1988.0,-196.3700000000001,1965.0
8,0.0,2010.0,-200.7700000000001,1965.0
9,1.0,2222.0,-243.17,1965.0
10,1.0,2037.0,-206.17,1965.0
11,1.0,2028.0,-204.36999999999998,1965.0
12,1.0,1956.0,-189.96999999999994,1956.0
13,1.0,2062.0,-211.1699999999999,1956.0
14,1.0,2031.0,-204.9699999999999,1956.0
15,1.0,2315.0,-261.77,1956.0
16,1.0,2051.0,-208.96999999999983,1956.0
17,1.0,1981.0,-194.97000000000003,1956.0
18,2.0,2022.0,-203.17000000000002,1956.0
19,2.0,1961.0,-190.97,1956.0
20,2.0,2027.0,-204.16999999999987,1956.0
21,2.0,2004.0,-199.57000000000016,1956.0
22,2.0,2103.0,-219.36999999999998,1956.0
23,2.0,2025.0,-203.7699999999999,1956.0
24,2.0,1983.0,-195.3699999999999,1956.0
25,2.0,1955.0,-189.77000000000007,1955.0
26,2.0,2010.0,-200.7699999999998,1955.0
27,3.0,2071.0,-212.97,1955.0
28,3.0,2063.0,-211.37000000000015,1955.0
29,3.0,2015.0,-201.77000000000015,1955.0
30,3.0,2000.0,-198.76999999999992,1955.0
31,3.0,2014.0,-201.57000000000008,1955.0
32,3.0,1962.0,-191.16999999999987,1955.0
33,3.0,1985.0,-195.7700000000001,1955.0
34,3.0,1958.0,-190.37,1955.0
35,3.0,2044.0,-207.57,1955.0
36,4.0,2070.0,-212.76999999999998,1955.0
37,4.0,2052.0,-209.17,1955.0
38,4.0,2027.0,-204.1699999999998,1955.0
39,4.0,2041.0,-206.97000000000008,1955.0
40,4.0,2063.0,-211.36999999999992,1955.0
41,4.0,1987.0,-196.16999999999996,1955.0
42,4.0,2019.0,-202.56999999999994,1955.0
43,4.0,1947.0,-188.17000000000007,1947.0
44,4.0,2007.0,-200.16999999999987,1947.0
45,5.0,2016.0,-201.96999999999997,1947.0
46,5.0,1931.0,-184.96999999999997,1931.0
47,5.0,2066.0,-211.96999999999994,1931.0
48,5.0,2063.0,-211.37000000000003,1931.0
49,5.0,1970.0,-192.76999999999995,1931.0
50,5.0,2040.0,-206.76999999999998,1931.0
51,5.0,1942.0,-187.16999999999993,1931.0
