,episode,make_span,reward,min make span
0,0.0,2117.0,-223.94949494949523,2117.0
1,0.0,2295.0,-259.90909090909105,2117.0
2,0.0,2239.0,-248.59595959595984,2117.0
3,0.0,2298.0,-260.51515151515173,2117.0
4,0.0,2171.0,-234.8585858585859,2117.0
5,0.0,2163.0,-233.24242424242442,2117.0
6,0.0,2110.0,-222.53535353535364,2110.0
7,0.0,2151.0,-230.81818181818193,2110.0
8,0.0,2222.0,-245.16161616161634,2110.0
9,1.0,2117.0,-223.9494949494951,2110.0
10,1.0,2227.0,-246.17171717171735,2110.0
11,1.0,2150.0,-230.61616161616183,2110.0
12,1.0,2183.0,-237.28282828282852,2110.0
13,1.0,2234.0,-247.58585858585866,2110.0
14,1.0,2205.0,-241.72727272727298,2110.0
15,1.0,2173.0,-235.26262626262633,2110.0
16,1.0,2128.0,-226.17171717171726,2110.0
17,1.0,2341.0,-269.20202020202044,2110.0
18,2.0,2396.0,-280.3131313131315,2110.0
19,2.0,2309.0,-262.7373737373739,2110.0
20,2.0,2417.0,-284.55555555555566,2110.0
21,2.0,2129.0,-226.3737373737375,2110.0
22,2.0,2297.0,-260.31313131313163,2110.0
23,2.0,2071.0,-214.65656565656576,2071.0
24,2.0,2179.0,-236.47474747474763,2071.0
25,2.0,2255.0,-251.82828282828294,2071.0
26,2.0,2268.0,-254.4545454545457,2071.0
27,3.0,2082.0,-216.87878787878805,2071.0
28,3.0,2220.0,-244.75757575757598,2071.0
29,3.0,2275.0,-255.86868686868692,2071.0
30,3.0,2131.0,-226.77777777777783,2071.0
31,3.0,2247.0,-250.21212121212136,2071.0
32,3.0,2308.0,-262.5353535353535,2071.0
33,3.0,2408.0,-282.73737373737396,2071.0
34,3.0,2294.0,-259.70707070707084,2071.0
35,3.0,2326.0,-266.17171717171726,2071.0
36,4.0,2205.0,-241.72727272727295,2071.0
37,4.0,2169.0,-234.45454545454555,2071.0
38,4.0,2168.0,-234.25252525252537,2071.0
39,4.0,2141.0,-228.79797979797988,2071.0
40,4.0,2246.0,-250.01010101010118,2071.0
41,4.0,2190.0,-238.69696969696992,2071.0
42,4.0,2150.0,-230.61616161616183,2071.0
43,4.0,2200.0,-240.71717171717174,2071.0
44,4.0,2185.0,-237.68686868686888,2071.0
45,5.0,2389.0,-278.89898989899007,2071.0
46,5.0,2253.0,-251.42424242424255,2071.0
47,5.0,2391.0,-279.3030303030303,2071.0
48,5.0,2245.0,-249.80808080808083,2071.0
49,5.0,2335.0,-267.9898989898991,2071.0
50,5.0,2396.0,-280.3131313131314,2071.0
51,5.0,2180.0,-236.6767676767678,2071.0
52,5.0,2093.0,-219.10101010101027,2071.0
53,5.0,2209.0,-242.5353535353537,2071.0
54,6.0,2439.0,-289.0000000000001,2071.0
55,6.0,2247.0,-250.21212121212136,2071.0
56,6.0,2112.0,-222.9393939393941,2071.0
57,6.0,2180.0,-236.67676767676778,2071.0
58,6.0,2298.0,-260.51515151515173,2071.0
59,6.0,2294.0,-259.7070707070709,2071.0
60,6.0,2121.0,-224.75757575757592,2071.0
61,6.0,2231.0,-246.97979797979815,2071.0
62,6.0,2372.0,-275.46464646464665,2071.0
63,7.0,2120.0,-224.55555555555588,2071.0
64,7.0,2117.0,-223.9494949494951,2071.0
65,7.0,2051.0,-210.61616161616175,2051.0
66,7.0,2157.0,-232.0303030303032,2051.0
67,7.0,2379.0,-276.8787878787881,2051.0
68,7.0,2174.0,-235.46464646464668,2051.0
69,7.0,2254.0,-251.62626262626276,2051.0
70,7.0,2060.0,-212.43434343434367,2051.0
71,7.0,2241.0,-249.0000000000002,2051.0
