,episode,make_span,reward,min make span
0,0.0,2102.0,-221.1818181818184,2102.0
1,0.0,2098.0,-220.3737373737374,2098.0
2,0.0,2531.0,-307.8484848484851,2098.0
3,0.0,2125.0,-225.82828282828302,2098.0
4,0.0,2148.0,-230.47474747474763,2098.0
5,0.0,2388.0,-278.9595959595961,2098.0
6,0.0,1901.0,-180.57575757575776,1901.0
7,0.0,2316.0,-264.41414141414157,1901.0
8,0.0,2242.0,-249.46464646464668,1901.0
9,1.0,2090.0,-218.757575757576,1901.0
10,1.0,2132.0,-227.24242424242428,1901.0
11,1.0,2129.0,-226.63636363636385,1901.0
12,1.0,2097.0,-220.1717171717173,1901.0
13,1.0,2158.0,-232.49494949494957,1901.0
14,1.0,2183.0,-237.5454545454547,1901.0
15,1.0,2104.0,-221.5858585858588,1901.0
16,1.0,2159.0,-232.69696969697003,1901.0
17,1.0,2013.0,-203.20202020202038,1901.0
18,2.0,2270.0,-255.12121212121227,1901.0
19,2.0,2426.0,-286.63636363636374,1901.0
20,2.0,2149.0,-230.67676767676787,1901.0
21,2.0,2103.0,-221.3838383838386,1901.0
22,2.0,2098.0,-220.3737373737375,1901.0
23,2.0,2111.0,-223.00000000000009,1901.0
24,2.0,2174.0,-235.7272727272729,1901.0
25,2.0,2182.0,-237.34343434343458,1901.0
26,2.0,2111.0,-223.00000000000003,1901.0
27,3.0,2263.0,-253.70707070707087,1901.0
28,3.0,2063.0,-213.30303030303045,1901.0
29,3.0,2364.0,-274.11111111111114,1901.0
30,3.0,2497.0,-300.9797979797981,1901.0
31,3.0,2167.0,-234.31313131313144,1901.0
32,3.0,2183.0,-237.54545454545462,1901.0
33,3.0,2253.0,-251.68686868686876,1901.0
34,3.0,2184.0,-237.74747474747468,1901.0
35,3.0,2173.0,-235.52525252525254,1901.0
36,4.0,2170.0,-234.91919191919195,1901.0
37,4.0,2371.0,-275.52525252525265,1901.0
38,4.0,2233.0,-247.6464646464648,1901.0
39,4.0,2131.0,-227.04040404040413,1901.0
40,4.0,2078.0,-216.33333333333348,1901.0
41,4.0,2303.0,-261.787878787879,1901.0
42,4.0,2174.0,-235.72727272727295,1901.0
43,4.0,2244.0,-249.86868686868704,1901.0
44,4.0,2098.0,-220.37373737373738,1901.0
45,5.0,2178.0,-236.53535353535364,1901.0
46,5.0,2113.0,-223.4040404040405,1901.0
47,5.0,2105.0,-221.78787878787892,1901.0
48,5.0,2201.0,-241.18181818181827,1901.0
49,5.0,2158.0,-232.4949494949497,1901.0
50,5.0,2160.0,-232.8989898989901,1901.0
51,5.0,2241.0,-249.26262626262644,1901.0
52,5.0,2339.0,-269.0606060606062,1901.0
53,5.0,2183.0,-237.54545454545465,1901.0
54,6.0,2167.0,-234.3131313131315,1901.0
55,6.0,2106.0,-221.98989898989925,1901.0
56,6.0,2180.0,-236.93939393939417,1901.0
57,6.0,2257.0,-252.49494949494968,1901.0
58,6.0,2124.0,-225.62626262626293,1901.0
59,6.0,2263.0,-253.7070707070708,1901.0
60,6.0,2177.0,-236.3333333333336,1901.0
61,6.0,2285.0,-258.1515151515153,1901.0
62,6.0,2122.0,-225.2222222222224,1901.0
63,7.0,2073.0,-215.3232323232326,1901.0
64,7.0,2124.0,-225.6262626262627,1901.0
65,7.0,2078.0,-216.3333333333336,1901.0
66,7.0,2180.0,-236.93939393939422,1901.0
67,7.0,2199.0,-240.777777777778,1901.0
68,7.0,2134.0,-227.64646464646478,1901.0
69,7.0,2209.0,-242.79797979798002,1901.0
70,7.0,2076.0,-215.92929292929307,1901.0
71,7.0,2271.0,-255.3232323232325,1901.0
72,8.0,2114.0,-223.60606060606082,1901.0
73,8.0,2324.0,-266.0303030303033,1901.0
74,8.0,2108.0,-222.3939393939396,1901.0
75,8.0,2214.0,-243.80808080808106,1901.0
76,8.0,2159.0,-232.69696969696977,1901.0
77,8.0,2222.0,-245.42424242424252,1901.0
78,8.0,2161.0,-233.10101010101036,1901.0
79,8.0,2222.0,-245.4242424242426,1901.0
80,8.0,2231.0,-247.24242424242436,1901.0
81,9.0,2185.0,-237.94949494949512,1901.0
82,9.0,2260.0,-253.10101010101016,1901.0
83,9.0,2246.0,-250.27272727272742,1901.0
84,9.0,2044.0,-209.46464646464662,1901.0
85,9.0,2139.0,-228.65656565656573,1901.0
86,9.0,2088.0,-218.3535353535355,1901.0
87,9.0,2292.0,-259.56565656565675,1901.0
88,9.0,1923.0,-185.02020202020222,1901.0
89,9.0,2158.0,-232.49494949494965,1901.0
90,10.0,2033.0,-207.2424242424244,1901.0
91,10.0,2331.0,-267.4444444444445,1901.0
92,10.0,1989.0,-198.35353535353553,1901.0
93,10.0,2116.0,-224.01010101010095,1901.0
94,10.0,2144.0,-229.66666666666683,1901.0
95,10.0,2203.0,-241.5858585858589,1901.0
96,10.0,2043.0,-209.2626262626264,1901.0
